Section,Key,Value
PORTFOLIO HEALTH,Overall Status,CRITICAL - Significant model degradation and/or population drift detected.
PORTFOLIO HEALTH,Best Technique (Drift Detection),Feature Binning (Score: 60.0/100)
PORTFOLIO HEALTH,Max Gini Drop Detected,0.434
PORTFOLIO HEALTH,Max PSI Detected,0.0001
PORTFOLIO HEALTH,Max Calibration Drift,0.0921
PORTFOLIO HEALTH,Total Segments Analyzed,48
TOP WORST SEGMENTS,Rank 1: Gradient Boosting,debt_to_income >= 42.14 AND utilization_rate < 23.47
TOP WORST SEGMENTS,  -> Gini Drop,-0.0998
TOP WORST SEGMENTS,  -> Exposure Drift,-0.0011
TOP WORST SEGMENTS,  -> Calibration Drift,0.0921
TOP WORST SEGMENTS,  -> Root Cause Feature,annual_income
TOP WORST SEGMENTS,  -> Root Cause Score,0.0001
TOP WORST SEGMENTS,Rank 2: K-Means Clustering,Cluster_1: age >= 43.5 AND loan_to_value < 69.06 AND annual_income >= 6.764e+04 AND debt_to_income >= 36.89
TOP WORST SEGMENTS,  -> Gini Drop,-0.2136
TOP WORST SEGMENTS,  -> Exposure Drift,-0.0005
TOP WORST SEGMENTS,  -> Calibration Drift,0.0292
TOP WORST SEGMENTS,  -> Root Cause Feature,utilization_rate
TOP WORST SEGMENTS,  -> Root Cause Score,0.0001
TOP WORST SEGMENTS,Rank 3: K-Means Clustering,Cluster_8: age >= 43.5 AND loan_to_value < 69.06 AND annual_income >= 6.764e+04 AND debt_to_income < 36.89
TOP WORST SEGMENTS,  -> Gini Drop,-0.0064
TOP WORST SEGMENTS,  -> Exposure Drift,-0.0007
TOP WORST SEGMENTS,  -> Calibration Drift,-0.0847
TOP WORST SEGMENTS,  -> Root Cause Feature,debt_to_income
TOP WORST SEGMENTS,  -> Root Cause Score,0.0001
TOP WORST SEGMENTS,Rank 4: K-Means Clustering,Cluster_5: age >= 43.5 AND loan_to_value >= 69.06 AND bureau_score < 722.5 AND debt_to_income < 42.94
TOP WORST SEGMENTS,  -> Gini Drop,-0.0534
TOP WORST SEGMENTS,  -> Exposure Drift,-0.0001
TOP WORST SEGMENTS,  -> Calibration Drift,0.0448
TOP WORST SEGMENTS,  -> Root Cause Feature,utilization_rate
TOP WORST SEGMENTS,  -> Root Cause Score,0.0001
TOP WORST SEGMENTS,Rank 5: AutoSlicer,utilization_rate >= 71.87
TOP WORST SEGMENTS,  -> Gini Drop,-0.0848
TOP WORST SEGMENTS,  -> Exposure Drift,0.0011
TOP WORST SEGMENTS,  -> Calibration Drift,0.0202
TOP WORST SEGMENTS,  -> Root Cause Feature,utilization_rate
TOP WORST SEGMENTS,  -> Root Cause Score,0.0001
ROOT CAUSE ANALYSIS,Top Drifting Features (across all segments),"debt_to_income, utilization_rate, annual_income"
RECOMMENDATIONS,1. Immediate Action,Investigate 'debt_to_income >= 42.14 AND utilization_rate < 23.47' - highest severity score
RECOMMENDATIONS,2. Root Cause Investigation,Focus on feature 'annual_income' - highest drift within worst segment
RECOMMENDATIONS,3. Recalibration,Consider model recalibration for segments with calibration drift > 0.05
RECOMMENDATIONS,4. Monitoring Thresholds,Set up automated alerts for PSI > 0.10 and Gini Drop > 0.10
RECOMMENDATIONS,5. Best Technique,Use Feature Binning for ongoing monitoring - highest sensitivity
